rvote	stt	eth	inc	age	sex	edu	mar	kid
0	36	2	1	3	2	3	2	1
0	39	1	1	2	2	3	2	1
NA	48	3	NA	2	1	1	2	1
1	5	NA	3	3	1	3	1	2
1	5	1	3	3	1	3	2	2
0	43	1	3	3	1	3	1	2
0	51	1	1	4	2	1	2	2
1	48	1	4	1	2	3	2	2
1	5	3	2	3	1	1	1	1
NA	40	1	4	2	1	5	2	2
0	33	3	3	1	2	4	1	2
0	11	1	3	1	1	1	2	2
1	31	2	5	1	1	3	2	1
NA	5	1	3	4	2	2	1	2
0	36	NA	1	2	2	2	2	1
0	36	1	2	4	2	3	1	2
1	1	2	3	3	1	2	1	1
1	19	1	4	2	1	2	1	1
0	50	1	3	3	1	3	1	1
NA	27	1	4	3	1	5	2	1
1	10	1	3	3	2	3	1	2
NA	50	NA	3	3	2	4	2	2
0	33	2	1	2	2	3	2	1
0	36	1	3	1	2	2	2	2
1	1	2	2	1	2	2	2	2
1	4	1	2	4	1	2	1	2
0	7	4	3	2	2	4	1	2
1	15	1	NA	4	2	3	2	2
1	50	1	NA	3	1	2	1	2
1	24	1	3	1	1	5	2	2
0	48	1	3	2	2	2	1	1
NA	31	2	NA	2	2	NA	2	2
0	1	1	3	4	2	3	1	2
NA	48	1	3	2	2	5	1	2
NA	41	1	3	3	2	3	1	2
0	25	2	1	4	2	1	2	2
0	18	1	3	2	1	2	1	1
1	25	1	3	1	1	2	1	1
1	5	1	3	3	2	3	2	2
1	7	3	1	1	2	2	2	1
1	33	1	1	1	1	4	2	2
0	36	4	1	1	1	3	2	2
0	50	1	3	3	2	2	1	2
0	5	1	3	2	2	2	2	2
0	7	1	NA	3	1	2	2	2
0	20	1	3	3	1	2	1	2
0	36	2	1	1	2	1	2	1
1	14	1	2	4	2	4	1	2
NA	44	1	NA	3	1	4	1	1
0	45	1	2	2	2	3	1	1
1	44	1	4	2	1	5	1	1
0	21	1	3	3	1	5	2	2
1	43	1	1	1	1	5	1	2
0	39	1	1	4	2	1	2	2
1	44	3	2	3	2	3	2	1
1	19	1	NA	4	1	5	1	2
0	27	4	3	2	2	3	1	1
1	31	4	3	1	2	5	2	2
0	31	1	5	1	1	3	2	1
0	5	1	4	2	1	3	1	2
1	26	1	2	4	1	2	2	2
1	25	1	5	3	1	3	1	2
1	36	1	3	3	2	2	1	2
1	11	1	4	3	2	5	1	1
1	4	1	3	2	2	3	1	1
NA	17	1	3	3	1	2	1	2
1	44	1	2	2	1	2	2	1
1	23	1	3	3	2	5	1	2
1	36	1	3	1	1	2	2	1
0	26	1	2	4	2	2	1	2
0	19	2	2	3	2	3	1	1
0	49	1	2	1	2	4	1	1
0	5	3	4	2	2	5	1	1
NA	33	NA	NA	2	1	NA	2	2
1	44	1	2	1	1	1	2	1
0	24	1	2	4	1	1	1	2
1	23	1	3	3	2	5	1	1
NA	11	1	2	4	2	5	1	2
1	33	1	5	2	1	5	2	2
1	6	3	2	2	1	4	2	2
1	3	1	2	2	1	4	1	2
1	34	NA	1	NA	1	NA	1	2
1	6	1	3	3	1	4	1	1
0	29	3	3	2	1	2	2	2
1	36	1	4	3	2	5	1	1
0	14	1	1	3	1	3	1	2
1	50	3	1	1	2	2	2	2
1	31	1	4	3	1	2	1	2
NA	7	1	3	4	2	3	2	2
1	14	1	3	3	2	3	1	1
0	36	1	4	1	2	5	2	2
1	14	1	3	1	1	2	2	2
NA	5	1	5	2	2	3	2	1
1	21	1	3	2	1	3	1	1
1	36	1	1	3	2	3	2	2
0	33	1	3	3	1	3	1	1
1	34	1	3	1	2	4	1	2
1	15	1	2	3	2	1	1	1
0	19	1	3	3	2	3	1	2
1	24	1	3	1	1	3	2	2
NA	44	1	4	2	2	3	1	2
0	21	2	4	2	1	4	1	1
0	34	1	3	2	1	4	2	2
1	36	1	4	4	1	4	1	2
1	10	1	4	2	1	4	1	2
1	26	1	3	3	2	2	1	2
1	6	1	3	2	1	5	1	1
0	5	1	3	3	1	4	1	2
1	33	1	3	4	2	3	2	2
1	36	1	1	2	1	1	1	1
0	15	1	2	1	1	1	2	1
1	37	1	1	3	2	2	2	1
0	14	4	3	1	1	5	1	2
1	5	3	4	1	1	3	2	2
1	49	1	2	4	1	4	1	2
1	11	1	4	3	2	4	1	2
NA	49	1	2	2	1	2	1	1
NA	10	3	4	1	1	3	2	2
1	23	1	2	3	1	3	1	2
1	37	1	4	2	2	1	1	1
1	24	1	3	2	2	2	2	1
0	10	1	1	NA	2	1	2	2
NA	10	1	4	2	1	4	1	1
1	31	1	4	2	2	5	1	2
1	15	1	3	2	1	2	2	1
1	43	1	1	1	2	2	2	1
0	5	2	2	2	1	3	2	2
1	39	1	3	3	1	5	2	2
0	23	1	2	1	2	1	1	1
1	44	1	5	2	1	4	2	2
1	14	1	3	2	2	4	2	2
0	6	1	2	2	1	3	2	1
0	5	1	4	2	1	4	2	2
0	23	1	3	1	2	5	1	2
NA	29	4	NA	3	1	5	1	2
1	5	1	3	1	1	3	2	1
0	21	NA	4	2	1	4	2	1
1	16	1	2	1	1	4	2	2
1	11	1	2	3	2	3	1	2
0	41	1	4	3	2	2	2	2
0	34	2	1	4	2	2	2	2
1	14	1	2	4	1	3	2	2
1	42	1	1	4	2	2	2	2
0	3	1	NA	4	1	4	1	2
1	5	1	1	3	2	3	2	2
0	5	1	4	2	1	4	2	2
1	38	1	1	4	2	3	2	2
0	38	1	2	3	2	2	2	2
NA	33	3	1	1	2	3	2	1
0	34	2	NA	4	2	1	1	2
1	16	1	4	2	1	2	1	1
0	48	1	2	3	2	4	2	2
0	5	2	3	2	2	2	1	1
0	39	1	4	2	1	4	2	2
0	14	4	3	4	1	3	1	2
1	32	3	1	1	2	2	1	1
1	1	1	3	3	1	3	1	2
1	48	1	4	4	1	5	1	2
1	46	1	2	3	1	2	1	2
NA	15	2	3	2	2	2	1	1
NA	14	2	1	1	2	4	2	2
0	49	1	1	4	2	2	2	2
NA	36	1	2	2	2	2	1	1
0	1	1	3	3	1	3	2	2
1	42	NA	NA	2	2	4	1	1
1	44	3	1	1	2	1	1	1
0	5	1	3	2	1	2	2	2
0	18	1	2	3	1	1	2	2
0	22	1	3	2	1	4	2	2
0	41	2	2	2	2	5	1	1
1	10	3	3	2	1	4	1	1
0	5	2	1	1	2	3	2	2
NA	39	1	2	3	2	2	1	2
0	34	2	2	3	2	2	1	2
0	42	1	2	3	1	3	1	2
0	21	2	2	2	2	2	2	2
0	10	3	3	3	1	3	1	1
1	33	1	3	3	1	3	2	2
1	31	2	4	3	2	2	1	2
NA	29	1	NA	2	1	2	1	1
1	31	1	4	2	2	5	1	1
1	33	1	5	3	1	5	1	2
0	17	1	NA	4	2	5	1	1
0	16	1	3	3	2	5	2	2
NA	24	1	3	2	1	3	1	1
0	50	2	3	3	2	3	1	1
1	50	1	NA	3	1	1	2	2
0	42	4	3	2	1	4	1	1
1	8	1	3	2	2	4	1	1
1	23	1	4	3	1	5	1	2
1	10	1	3	1	1	4	2	2
0	33	1	1	1	2	3	2	1
NA	16	1	2	1	2	4	2	2
0	30	1	1	3	2	2	1	2
0	33	2	4	2	2	4	1	1
1	31	1	NA	2	1	4	1	1
1	42	1	2	2	1	4	2	2
0	33	1	1	1	2	3	2	2
0	39	1	5	3	2	4	1	1
0	42	1	2	1	2	3	2	1
1	43	1	2	3	1	1	1	2
1	39	1	2	2	2	2	1	1
0	33	1	2	2	2	5	2	2
